#Unname 0	dataset	original symbol	original locus	cutting site	new symbol	new locus
5	chari2015Train293T	ACKR2	chr3:42906163-42906262:-	42906216	CCBP2	chr3:42905994-42907148:+
2711	doench2014-Hs	CD13	chr15:90347777-90347876:+	90347823	ANPEP	chr15:90328579-90349813:-
2712	doench2014-Hs	CD13	chr15:90344708-90344807:+	90344754	ANPEP	chr15:90328579-90349813:-
2713	doench2014-Hs	CD13	chr15:90347572-90347671:+	90347618	ANPEP	chr15:90328579-90349813:-
2714	doench2014-Hs	CD13	chr15:90340761-90340860:+	90340807	ANPEP	chr15:90328579-90349813:-
2715	doench2014-Hs	CD13	chr15:90347591-90347690:+	90347637	ANPEP	chr15:90328579-90349813:-
2716	doench2014-Hs	CD13	chr15:90336280-90336379:+	90336326	ANPEP	chr15:90328579-90349813:-
2717	doench2014-Hs	CD13	chr15:90342706-90342805:-	90342759	ANPEP	chr15:90328579-90349813:-
2718	doench2014-Hs	CD13	chr15:90347778-90347877:+	90347824	ANPEP	chr15:90328579-90349813:-
2719	doench2014-Hs	CD13	chr15:90348580-90348679:-	90348633	ANPEP	chr15:90328579-90349813:-
2720	doench2014-Hs	CD13	chr15:90349265-90349364:-	90349318	ANPEP	chr15:90328579-90349813:-
2721	doench2014-Hs	CD13	chr15:90348608-90348707:-	90348661	ANPEP	chr15:90328579-90349813:-
2722	doench2014-Hs	CD13	chr15:90349614-90349713:+	90349660	ANPEP	chr15:90328579-90349813:-
2723	doench2014-Hs	CD13	chr15:90344647-90344746:+	90344693	ANPEP	chr15:90328579-90349813:-
2724	doench2014-Hs	CD13	chr15:90347436-90347535:-	90347489	ANPEP	chr15:90328579-90349813:-
2725	doench2014-Hs	CD13	chr15:90349599-90349698:+	90349645	ANPEP	chr15:90328579-90349813:-
2726	doench2014-Hs	CD13	chr15:90348539-90348638:+	90348585	ANPEP	chr15:90328579-90349813:-
2727	doench2014-Hs	CD13	chr15:90349587-90349686:+	90349633	ANPEP	chr15:90328579-90349813:-
2728	doench2014-Hs	CD13	chr15:90344733-90344832:+	90344779	ANPEP	chr15:90328579-90349813:-
2729	doench2014-Hs	CD13	chr15:90349612-90349711:+	90349658	ANPEP	chr15:90328579-90349813:-
2730	doench2014-Hs	CD13	chr15:90349321-90349420:+	90349367	ANPEP	chr15:90328579-90349813:-
2731	doench2014-Hs	CD13	chr15:90349518-90349617:+	90349564	ANPEP	chr15:90328579-90349813:-
2732	doench2014-Hs	CD13	chr15:90349662-90349761:+	90349708	ANPEP	chr15:90328579-90349813:-
2733	doench2014-Hs	CD13	chr15:90347545-90347644:-	90347598	ANPEP	chr15:90328579-90349813:-
2734	doench2014-Hs	CD13	chr15:90349698-90349797:+	90349744	ANPEP	chr15:90328579-90349813:-
2735	doench2014-Hs	CD13	chr15:90342737-90342836:+	90342783	ANPEP	chr15:90328579-90349813:-
2736	doench2014-Hs	CD13	chr15:90346633-90346732:-	90346686	ANPEP	chr15:90328579-90349813:-
2737	doench2014-Hs	CD13	chr15:90347790-90347889:-	90347843	ANPEP	chr15:90328579-90349813:-
2738	doench2014-Hs	CD13	chr15:90346460-90346559:+	90346506	ANPEP	chr15:90328579-90349813:-
2739	doench2014-Hs	CD13	chr15:90346920-90347019:-	90346973	ANPEP	chr15:90328579-90349813:-
2740	doench2014-Hs	CD13	chr15:90349479-90349578:+	90349525	ANPEP	chr15:90328579-90349813:-
2741	doench2014-Hs	CD13	chr15:90347789-90347888:-	90347842	ANPEP	chr15:90328579-90349813:-
2742	doench2014-Hs	CD13	chr15:90348394-90348493:+	90348440	ANPEP	chr15:90328579-90349813:-
2743	doench2014-Hs	CD13	chr15:90344670-90344769:+	90344716	ANPEP	chr15:90328579-90349813:-
2744	doench2014-Hs	CD13	chr15:90348531-90348630:+	90348577	ANPEP	chr15:90328579-90349813:-
2745	doench2014-Hs	CD13	chr15:90348400-90348499:+	90348446	ANPEP	chr15:90328579-90349813:-
2746	doench2014-Hs	CD13	chr15:90349712-90349811:-	90349765	ANPEP	chr15:90328579-90349813:-
2747	doench2014-Hs	CD13	chr15:90347538-90347637:-	90347591	ANPEP	chr15:90328579-90349813:-
2748	doench2014-Hs	CD13	chr15:90347590-90347689:+	90347636	ANPEP	chr15:90328579-90349813:-
2749	doench2014-Hs	CD13	chr15:90348640-90348739:-	90348693	ANPEP	chr15:90328579-90349813:-
2750	doench2014-Hs	CD13	chr15:90342489-90342588:+	90342535	ANPEP	chr15:90328579-90349813:-
2751	doench2014-Hs	CD13	chr15:90349593-90349692:+	90349639	ANPEP	chr15:90328579-90349813:-
2752	doench2014-Hs	CD13	chr15:90349575-90349674:+	90349621	ANPEP	chr15:90328579-90349813:-
2753	doench2014-Hs	CD13	chr15:90344648-90344747:+	90344694	ANPEP	chr15:90328579-90349813:-
2754	doench2014-Hs	CD13	chr15:90344777-90344876:-	90344830	ANPEP	chr15:90328579-90349813:-
2755	doench2014-Hs	CD13	chr15:90346675-90346774:+	90346721	ANPEP	chr15:90328579-90349813:-
2756	doench2014-Hs	CD13	chr15:90348336-90348435:+	90348382	ANPEP	chr15:90328579-90349813:-
2757	doench2014-Hs	CD13	chr15:90340898-90340997:+	90340944	ANPEP	chr15:90328579-90349813:-
2758	doench2014-Hs	CD13	chr15:90349623-90349722:+	90349669	ANPEP	chr15:90328579-90349813:-
2759	doench2014-Hs	CD13	chr15:90348506-90348605:+	90348552	ANPEP	chr15:90328579-90349813:-
2760	doench2014-Hs	CD13	chr15:90347582-90347681:-	90347635	ANPEP	chr15:90328579-90349813:-
2761	doench2014-Hs	CD13	chr15:90347117-90347216:+	90347163	ANPEP	chr15:90328579-90349813:-
2762	doench2014-Hs	CD13	chr15:90349368-90349467:-	90349421	ANPEP	chr15:90328579-90349813:-
2763	doench2014-Hs	CD13	chr15:90349257-90349356:-	90349310	ANPEP	chr15:90328579-90349813:-
2764	doench2014-Hs	CD13	chr15:90349323-90349422:+	90349369	ANPEP	chr15:90328579-90349813:-
2765	doench2014-Hs	CD13	chr15:90349620-90349719:+	90349666	ANPEP	chr15:90328579-90349813:-
2766	doench2014-Hs	CD13	chr15:90346452-90346551:+	90346498	ANPEP	chr15:90328579-90349813:-
2767	doench2014-Hs	CD13	chr15:90336309-90336408:+	90336355	ANPEP	chr15:90328579-90349813:-
2768	doench2014-Hs	CD13	chr15:90340888-90340987:+	90340934	ANPEP	chr15:90328579-90349813:-
2769	doench2014-Hs	CD13	chr15:90349480-90349579:+	90349526	ANPEP	chr15:90328579-90349813:-
2770	doench2014-Hs	CD13	chr15:90335450-90335549:-	90335503	ANPEP	chr15:90328579-90349813:-
2771	doench2014-Hs	CD13	chr15:90335453-90335552:-	90335506	ANPEP	chr15:90328579-90349813:-
2772	doench2014-Hs	CD13	chr15:90344686-90344785:-	90344739	ANPEP	chr15:90328579-90349813:-
2773	doench2014-Hs	CD13	chr15:90349534-90349633:+	90349580	ANPEP	chr15:90328579-90349813:-
2774	doench2014-Hs	CD13	chr15:90349341-90349440:-	90349394	ANPEP	chr15:90328579-90349813:-
2775	doench2014-Hs	CD13	chr15:90344655-90344754:+	90344701	ANPEP	chr15:90328579-90349813:-
2776	doench2014-Hs	CD13	chr15:90347743-90347842:+	90347789	ANPEP	chr15:90328579-90349813:-
2777	doench2014-Hs	CD13	chr15:90340896-90340995:-	90340949	ANPEP	chr15:90328579-90349813:-
2778	doench2014-Hs	CD13	chr15:90347585-90347684:+	90347631	ANPEP	chr15:90328579-90349813:-
2779	doench2014-Hs	CD13	chr15:90335669-90335768:+	90335715	ANPEP	chr15:90328579-90349813:-
2780	doench2014-Hs	CD13	chr15:90347513-90347612:+	90347559	ANPEP	chr15:90328579-90349813:-
2781	doench2014-Hs	CD13	chr15:90346634-90346733:-	90346687	ANPEP	chr15:90328579-90349813:-
2782	doench2014-Hs	CD13	chr15:90347544-90347643:-	90347597	ANPEP	chr15:90328579-90349813:-
2783	doench2014-Hs	CD13	chr15:90347104-90347203:+	90347150	ANPEP	chr15:90328579-90349813:-
2784	doench2014-Hs	CD13	chr15:90336223-90336322:-	90336276	ANPEP	chr15:90328579-90349813:-
2785	doench2014-Hs	CD13	chr15:90346445-90346544:+	90346491	ANPEP	chr15:90328579-90349813:-
2786	doench2014-Hs	CD13	chr15:90348393-90348492:+	90348439	ANPEP	chr15:90328579-90349813:-
2787	doench2014-Hs	CD13	chr15:90347490-90347589:+	90347536	ANPEP	chr15:90328579-90349813:-
2788	doench2014-Hs	CD13	chr15:90349605-90349704:+	90349651	ANPEP	chr15:90328579-90349813:-
2789	doench2014-Hs	CD13	chr15:90340831-90340930:+	90340877	ANPEP	chr15:90328579-90349813:-
2790	doench2014-Hs	CD13	chr15:90348607-90348706:+	90348653	ANPEP	chr15:90328579-90349813:-
2791	doench2014-Hs	CD13	chr15:90349661-90349760:+	90349707	ANPEP	chr15:90328579-90349813:-
2792	doench2014-Hs	CD13	chr15:90349565-90349664:+	90349611	ANPEP	chr15:90328579-90349813:-
2793	doench2014-Hs	CD13	chr15:90344641-90344740:+	90344687	ANPEP	chr15:90328579-90349813:-
2794	doench2014-Hs	CD13	chr15:90349251-90349350:-	90349304	ANPEP	chr15:90328579-90349813:-
2795	doench2014-Hs	CD13	chr15:90349596-90349695:+	90349642	ANPEP	chr15:90328579-90349813:-
2796	doench2014-Hs	CD13	chr15:90347794-90347893:+	90347840	ANPEP	chr15:90328579-90349813:-
2797	doench2014-Hs	CD13	chr15:90349446-90349545:+	90349492	ANPEP	chr15:90328579-90349813:-
2798	doench2014-Hs	CD13	chr15:90340899-90340998:+	90340945	ANPEP	chr15:90328579-90349813:-
2799	doench2014-Hs	CD13	chr15:90349572-90349671:-	90349625	ANPEP	chr15:90328579-90349813:-
2800	doench2014-Hs	CD13	chr15:90349510-90349609:-	90349563	ANPEP	chr15:90328579-90349813:-
2801	doench2014-Hs	CD13	chr15:90346674-90346773:-	90346727	ANPEP	chr15:90328579-90349813:-
2802	doench2014-Hs	CD13	chr15:90346865-90346964:+	90346911	ANPEP	chr15:90328579-90349813:-
2803	doench2014-Hs	CD13	chr15:90344626-90344725:+	90344672	ANPEP	chr15:90328579-90349813:-
2804	doench2014-Hs	CD13	chr15:90349740-90349839:+	90349786	ANPEP	chr15:90328579-90349813:-
2805	doench2014-Hs	CD13	chr15:90344755-90344854:+	90344801	ANPEP	chr15:90328579-90349813:-
2806	doench2014-Hs	CD13	chr15:90335462-90335561:-	90335515	ANPEP	chr15:90328579-90349813:-
2807	doench2014-Hs	CD13	chr15:90349436-90349535:+	90349482	ANPEP	chr15:90328579-90349813:-
2808	doench2014-Hs	CD13	chr15:90349629-90349728:+	90349675	ANPEP	chr15:90328579-90349813:-
2809	doench2014-Hs	CD13	chr15:90347674-90347773:-	90347727	ANPEP	chr15:90328579-90349813:-
2810	doench2014-Hs	CD13	chr15:90349329-90349428:+	90349375	ANPEP	chr15:90328579-90349813:-
2811	doench2014-Hs	CD13	chr15:90347710-90347809:-	90347763	ANPEP	chr15:90328579-90349813:-
2812	doench2014-Hs	CD13	chr15:90340769-90340868:-	90340822	ANPEP	chr15:90328579-90349813:-
2813	doench2014-Hs	CD13	chr15:90349584-90349683:+	90349630	ANPEP	chr15:90328579-90349813:-
2814	doench2014-Hs	CD13	chr15:90347576-90347675:+	90347622	ANPEP	chr15:90328579-90349813:-
2815	doench2014-Hs	CD13	chr15:90336310-90336409:+	90336356	ANPEP	chr15:90328579-90349813:-
2816	doench2014-Hs	CD13	chr15:90347498-90347597:+	90347544	ANPEP	chr15:90328579-90349813:-
2817	doench2014-Hs	CD13	chr15:90346903-90347002:+	90346949	ANPEP	chr15:90328579-90349813:-
2818	doench2014-Hs	CD13	chr15:90342478-90342577:-	90342531	ANPEP	chr15:90328579-90349813:-
2819	doench2014-Hs	CD13	chr15:90346682-90346781:+	90346728	ANPEP	chr15:90328579-90349813:-
2820	doench2014-Hs	CD13	chr15:90349725-90349824:-	90349778	ANPEP	chr15:90328579-90349813:-
2821	doench2014-Hs	CD13	chr15:90346661-90346760:+	90346707	ANPEP	chr15:90328579-90349813:-
2822	doench2014-Hs	CD13	chr15:90349588-90349687:+	90349634	ANPEP	chr15:90328579-90349813:-
2823	doench2014-Hs	CD13	chr15:90348538-90348637:+	90348584	ANPEP	chr15:90328579-90349813:-
2824	doench2014-Hs	CD13	chr15:90336225-90336324:+	90336271	ANPEP	chr15:90328579-90349813:-
2825	doench2014-Hs	CD13	chr15:90349613-90349712:+	90349659	ANPEP	chr15:90328579-90349813:-
2826	doench2014-Hs	CD13	chr15:90347105-90347204:-	90347158	ANPEP	chr15:90328579-90349813:-
2827	doench2014-Hs	CD13	chr15:90348522-90348621:+	90348568	ANPEP	chr15:90328579-90349813:-
2828	doench2014-Hs	CD13	chr15:90348269-90348368:-	90348322	ANPEP	chr15:90328579-90349813:-
2829	doench2014-Hs	CD13	chr15:90347493-90347592:+	90347539	ANPEP	chr15:90328579-90349813:-
2830	doench2014-Hs	CD13	chr15:90349584-90349683:-	90349637	ANPEP	chr15:90328579-90349813:-
2831	doench2014-Hs	CD13	chr15:90340762-90340861:+	90340808	ANPEP	chr15:90328579-90349813:-
2832	doench2014-Hs	CD13	chr15:90347445-90347544:-	90347498	ANPEP	chr15:90328579-90349813:-
2833	doench2014-Hs	CD13	chr15:90347764-90347863:-	90347817	ANPEP	chr15:90328579-90349813:-
2834	doench2014-Hs	CD13	chr15:90346439-90346538:+	90346485	ANPEP	chr15:90328579-90349813:-
2835	doench2014-Hs	CD13	chr15:90335461-90335560:-	90335514	ANPEP	chr15:90328579-90349813:-
2836	doench2014-Hs	CD13	chr15:90344362-90344461:-	90344415	ANPEP	chr15:90328579-90349813:-
2837	doench2014-Hs	CD13	chr15:90342716-90342815:-	90342769	ANPEP	chr15:90328579-90349813:-
2838	doench2014-Hs	CD13	chr15:90347178-90347277:-	90347231	ANPEP	chr15:90328579-90349813:-
2839	doench2014-Hs	CD13	chr15:90346908-90347007:+	90346954	ANPEP	chr15:90328579-90349813:-
2840	doench2014-Hs	CD13	chr15:90347487-90347586:+	90347533	ANPEP	chr15:90328579-90349813:-
2841	doench2014-Hs	CD13	chr15:90335644-90335743:+	90335690	ANPEP	chr15:90328579-90349813:-
2842	doench2014-Hs	CD13	chr15:90347179-90347278:-	90347232	ANPEP	chr15:90328579-90349813:-
2843	doench2014-Hs	CD13	chr15:90349487-90349586:+	90349533	ANPEP	chr15:90328579-90349813:-
2844	doench2014-Hs	CD13	chr15:90348379-90348478:+	90348425	ANPEP	chr15:90328579-90349813:-
2845	doench2014-Hs	CD13	chr15:90347679-90347778:+	90347725	ANPEP	chr15:90328579-90349813:-
2846	doench2014-Hs	CD13	chr15:90342443-90342542:-	90342496	ANPEP	chr15:90328579-90349813:-
2847	doench2014-Hs	CD13	chr15:90349707-90349806:-	90349760	ANPEP	chr15:90328579-90349813:-
2848	doench2014-Hs	CD13	chr15:90348367-90348466:-	90348420	ANPEP	chr15:90328579-90349813:-
2849	doench2014-Hs	CD13	chr15:90349328-90349427:+	90349374	ANPEP	chr15:90328579-90349813:-
2850	doench2014-Hs	CD13	chr15:90349324-90349423:+	90349370	ANPEP	chr15:90328579-90349813:-
2851	doench2014-Hs	CD13	chr15:90336300-90336399:+	90336346	ANPEP	chr15:90328579-90349813:-
2852	doench2014-Hs	CD13	chr15:90335456-90335555:-	90335509	ANPEP	chr15:90328579-90349813:-
2853	doench2014-Hs	CD13	chr15:90342447-90342546:+	90342493	ANPEP	chr15:90328579-90349813:-
2854	doench2014-Hs	CD13	chr15:90349724-90349823:-	90349777	ANPEP	chr15:90328579-90349813:-
2855	doench2014-Hs	CD13	chr15:90347783-90347882:+	90347829	ANPEP	chr15:90328579-90349813:-
2856	doench2014-Hs	CD13	chr15:90348401-90348500:+	90348447	ANPEP	chr15:90328579-90349813:-
2857	doench2014-Hs	CD13	chr15:90335675-90335774:-	90335728	ANPEP	chr15:90328579-90349813:-
2858	doench2014-Hs	CD13	chr15:90342479-90342578:-	90342532	ANPEP	chr15:90328579-90349813:-
2859	doench2014-Hs	CD13	chr15:90344710-90344809:-	90344763	ANPEP	chr15:90328579-90349813:-
2860	doench2014-Hs	CD13	chr15:90335643-90335742:+	90335689	ANPEP	chr15:90328579-90349813:-
2861	doench2014-Hs	CD13	chr15:90335724-90335823:+	90335770	ANPEP	chr15:90328579-90349813:-
2862	doench2014-Hs	CD13	chr15:90349713-90349812:-	90349766	ANPEP	chr15:90328579-90349813:-
2863	doench2014-Hs	CD13	chr15:90335483-90335582:+	90335529	ANPEP	chr15:90328579-90349813:-
2864	doench2014-Hs	CD13	chr15:90349466-90349565:+	90349512	ANPEP	chr15:90328579-90349813:-
2865	doench2014-Hs	CD13	chr15:90347735-90347834:-	90347788	ANPEP	chr15:90328579-90349813:-
2866	doench2014-Hs	CD13	chr15:90347758-90347857:-	90347811	ANPEP	chr15:90328579-90349813:-
2867	doench2014-Hs	CD13	chr15:90340830-90340929:+	90340876	ANPEP	chr15:90328579-90349813:-
2868	doench2014-Hs	CD13	chr15:90349555-90349654:-	90349608	ANPEP	chr15:90328579-90349813:-
2869	doench2014-Hs	CD13	chr15:90344333-90344432:-	90344386	ANPEP	chr15:90328579-90349813:-
2870	doench2014-Hs	CD13	chr15:90342668-90342767:+	90342714	ANPEP	chr15:90328579-90349813:-
2871	doench2014-Hs	CD13	chr15:90346649-90346748:-	90346702	ANPEP	chr15:90328579-90349813:-
2872	doench2014-Hs	CD13	chr15:90347082-90347181:+	90347128	ANPEP	chr15:90328579-90349813:-
2873	doench2014-Hs	CD13	chr15:90349422-90349521:-	90349475	ANPEP	chr15:90328579-90349813:-
2874	doench2014-Hs	CD13	chr15:90335498-90335597:+	90335544	ANPEP	chr15:90328579-90349813:-
2875	doench2014-Hs	CD13	chr15:90344724-90344823:+	90344770	ANPEP	chr15:90328579-90349813:-
2876	doench2014-Hs	CD13	chr15:90346690-90346789:+	90346736	ANPEP	chr15:90328579-90349813:-
2877	doench2014-Hs	CD13	chr15:90335715-90335814:+	90335761	ANPEP	chr15:90328579-90349813:-
2878	doench2014-Hs	CD13	chr15:90340889-90340988:+	90340935	ANPEP	chr15:90328579-90349813:-
2879	doench2014-Hs	CD13	chr15:90342689-90342788:+	90342735	ANPEP	chr15:90328579-90349813:-
2880	doench2014-Hs	CD13	chr15:90344698-90344797:-	90344751	ANPEP	chr15:90328579-90349813:-
2881	doench2014-Hs	CD13	chr15:90346625-90346724:-	90346678	ANPEP	chr15:90328579-90349813:-
2882	doench2014-Hs	CD13	chr15:90348342-90348441:+	90348388	ANPEP	chr15:90328579-90349813:-
2883	doench2014-Hs	CD13	chr15:90347131-90347230:-	90347184	ANPEP	chr15:90328579-90349813:-
2884	doench2014-Hs	CD13	chr15:90349662-90349761:-	90349715	ANPEP	chr15:90328579-90349813:-
2885	doench2014-Hs	CD13	chr15:90349366-90349465:-	90349419	ANPEP	chr15:90328579-90349813:-
2886	doench2014-Hs	CD13	chr15:90340763-90340862:+	90340809	ANPEP	chr15:90328579-90349813:-
2887	doench2014-Hs	CD13	chr15:90344709-90344808:+	90344755	ANPEP	chr15:90328579-90349813:-
2888	doench2014-Hs	CD13	chr15:90347120-90347219:+	90347166	ANPEP	chr15:90328579-90349813:-
2889	doench2014-Hs	CD13	chr15:90347114-90347213:-	90347167	ANPEP	chr15:90328579-90349813:-
2890	doench2014-Hs	CD13	chr15:90347543-90347642:-	90347596	ANPEP	chr15:90328579-90349813:-
2891	doench2014-Hs	CD13	chr15:90340863-90340962:+	90340909	ANPEP	chr15:90328579-90349813:-
2892	doench2014-Hs	CD13	chr15:90346890-90346989:+	90346936	ANPEP	chr15:90328579-90349813:-
2893	doench2014-Hs	CD13	chr15:90340781-90340880:+	90340827	ANPEP	chr15:90328579-90349813:-
2894	doench2014-Hs	CD13	chr15:90340827-90340926:-	90340880	ANPEP	chr15:90328579-90349813:-
2895	doench2014-Hs	CD13	chr15:90349508-90349607:+	90349554	ANPEP	chr15:90328579-90349813:-
2896	doench2014-Hs	CD13	chr15:90348312-90348411:+	90348358	ANPEP	chr15:90328579-90349813:-
2897	doench2014-Hs	CD13	chr15:90348327-90348426:+	90348373	ANPEP	chr15:90328579-90349813:-
2898	doench2014-Hs	CD13	chr15:90348371-90348470:+	90348417	ANPEP	chr15:90328579-90349813:-
2899	doench2014-Hs	CD13	chr15:90335457-90335556:-	90335510	ANPEP	chr15:90328579-90349813:-
2900	doench2014-Hs	CD13	chr15:90346887-90346986:+	90346933	ANPEP	chr15:90328579-90349813:-
2901	doench2014-Hs	CD13	chr15:90348598-90348697:+	90348644	ANPEP	chr15:90328579-90349813:-
2902	doench2014-Hs	CD13	chr15:90347561-90347660:-	90347614	ANPEP	chr15:90328579-90349813:-
2903	doench2014-Hs	CD13	chr15:90346654-90346753:+	90346700	ANPEP	chr15:90328579-90349813:-
2904	doench2014-Hs	CD13	chr15:90340818-90340917:+	90340864	ANPEP	chr15:90328579-90349813:-
2905	doench2014-Hs	CD13	chr15:90347154-90347253:-	90347207	ANPEP	chr15:90328579-90349813:-
2906	doench2014-Hs	CD13	chr15:90348540-90348639:+	90348586	ANPEP	chr15:90328579-90349813:-
2907	doench2014-Hs	CD13	chr15:90347765-90347864:-	90347818	ANPEP	chr15:90328579-90349813:-
2908	doench2014-Hs	CD13	chr15:90347771-90347870:+	90347817	ANPEP	chr15:90328579-90349813:-
2909	doench2014-Hs	CD13	chr15:90347758-90347857:+	90347804	ANPEP	chr15:90328579-90349813:-
2910	doench2014-Hs	CD13	chr15:90348543-90348642:+	90348589	ANPEP	chr15:90328579-90349813:-
2911	doench2014-Hs	CD13	chr15:90342646-90342745:-	90342699	ANPEP	chr15:90328579-90349813:-
2912	doench2014-Hs	CD13	chr15:90335682-90335781:-	90335735	ANPEP	chr15:90328579-90349813:-
2913	doench2014-Hs	CD13	chr15:90349416-90349515:+	90349462	ANPEP	chr15:90328579-90349813:-
2914	doench2014-Hs	CD13	chr15:90347553-90347652:+	90347599	ANPEP	chr15:90328579-90349813:-
2915	doench2014-Hs	CD13	chr15:90335494-90335593:+	90335540	ANPEP	chr15:90328579-90349813:-
2916	doench2014-Hs	CD13	chr15:90342643-90342742:-	90342696	ANPEP	chr15:90328579-90349813:-
2917	doench2014-Hs	CD13	chr15:90335486-90335585:+	90335532	ANPEP	chr15:90328579-90349813:-
2918	doench2014-Hs	CD13	chr15:90340881-90340980:-	90340934	ANPEP	chr15:90328579-90349813:-
2919	doench2014-Hs	CD13	chr15:90335712-90335811:+	90335758	ANPEP	chr15:90328579-90349813:-
2920	doench2014-Hs	CD13	chr15:90349757-90349856:-	90349810	ANPEP	chr15:90328579-90349813:-
2921	doench2014-Hs	CD13	chr15:90349256-90349355:+	90349302	ANPEP	chr15:90328579-90349813:-
2922	doench2014-Hs	CD13	chr15:90348634-90348733:+	90348680	ANPEP	chr15:90328579-90349813:-
2923	doench2014-Hs	CD13	chr15:90347559-90347658:+	90347605	ANPEP	chr15:90328579-90349813:-
2924	doench2014-Hs	CD13	chr15:90347728-90347827:+	90347774	ANPEP	chr15:90328579-90349813:-
2925	doench2014-Hs	CD13	chr15:90346891-90346990:+	90346937	ANPEP	chr15:90328579-90349813:-
2926	doench2014-Hs	CD13	chr15:90346478-90346577:+	90346524	ANPEP	chr15:90328579-90349813:-
2927	doench2014-Hs	CD15	chr11:94277947-94278046:+	94277993	FUT4	chr11:94277299-94278891:+
2928	doench2014-Hs	CD15	chr11:94278111-94278210:-	94278164	FUT4	chr11:94277299-94278891:+
2929	doench2014-Hs	CD15	chr11:94277847-94277946:+	94277893	FUT4	chr11:94277299-94278891:+
2930	doench2014-Hs	CD15	chr11:94278377-94278476:-	94278430	FUT4	chr11:94277299-94278891:+
2931	doench2014-Hs	CD15	chr11:94277829-94277928:+	94277875	FUT4	chr11:94277299-94278891:+
2932	doench2014-Hs	CD15	chr11:94278711-94278810:+	94278757	FUT4	chr11:94277299-94278891:+
2933	doench2014-Hs	CD15	chr11:94277990-94278089:-	94278043	FUT4	chr11:94277299-94278891:+
2934	doench2014-Hs	CD15	chr11:94278254-94278353:-	94278307	FUT4	chr11:94277299-94278891:+
2935	doench2014-Hs	CD15	chr11:94278325-94278424:+	94278371	FUT4	chr11:94277299-94278891:+
2936	doench2014-Hs	CD15	chr11:94278638-94278737:-	94278691	FUT4	chr11:94277299-94278891:+
2937	doench2014-Hs	CD15	chr11:94278680-94278779:-	94278733	FUT4	chr11:94277299-94278891:+
2938	doench2014-Hs	CD15	chr11:94278008-94278107:+	94278054	FUT4	chr11:94277299-94278891:+
2939	doench2014-Hs	CD15	chr11:94278397-94278496:+	94278443	FUT4	chr11:94277299-94278891:+
2940	doench2014-Hs	CD15	chr11:94277876-94277975:-	94277929	FUT4	chr11:94277299-94278891:+
2941	doench2014-Hs	CD15	chr11:94278649-94278748:-	94278702	FUT4	chr11:94277299-94278891:+
2942	doench2014-Hs	CD15	chr11:94277788-94277887:-	94277841	FUT4	chr11:94277299-94278891:+
2943	doench2014-Hs	CD15	chr11:94278281-94278380:+	94278327	FUT4	chr11:94277299-94278891:+
2944	doench2014-Hs	CD15	chr11:94278688-94278787:-	94278741	FUT4	chr11:94277299-94278891:+
2945	doench2014-Hs	CD15	chr11:94277874-94277973:-	94277927	FUT4	chr11:94277299-94278891:+
2946	doench2014-Hs	CD15	chr11:94277975-94278074:-	94278028	FUT4	chr11:94277299-94278891:+
2947	doench2014-Hs	CD15	chr11:94278104-94278203:-	94278157	FUT4	chr11:94277299-94278891:+
2948	doench2014-Hs	CD15	chr11:94277707-94277806:-	94277760	FUT4	chr11:94277299-94278891:+
2949	doench2014-Hs	CD15	chr11:94278688-94278787:+	94278734	FUT4	chr11:94277299-94278891:+
2950	doench2014-Hs	CD15	chr11:94278608-94278707:+	94278654	FUT4	chr11:94277299-94278891:+
2951	doench2014-Hs	CD15	chr11:94278687-94278786:-	94278740	FUT4	chr11:94277299-94278891:+
2952	doench2014-Hs	CD15	chr11:94277700-94277799:+	94277746	FUT4	chr11:94277299-94278891:+
2953	doench2014-Hs	CD15	chr11:94278002-94278101:-	94278055	FUT4	chr11:94277299-94278891:+
2954	doench2014-Hs	CD15	chr11:94278412-94278511:+	94278458	FUT4	chr11:94277299-94278891:+
2955	doench2014-Hs	CD15	chr11:94277765-94277864:+	94277811	FUT4	chr11:94277299-94278891:+
2956	doench2014-Hs	CD15	chr11:94278263-94278362:-	94278316	FUT4	chr11:94277299-94278891:+
2957	doench2014-Hs	CD15	chr11:94277639-94277738:+	94277685	FUT4	chr11:94277299-94278891:+
2958	doench2014-Hs	CD15	chr11:94278113-94278212:-	94278166	FUT4	chr11:94277299-94278891:+
2959	doench2014-Hs	CD15	chr11:94277915-94278014:-	94277968	FUT4	chr11:94277299-94278891:+
2960	doench2014-Hs	CD15	chr11:94277863-94277962:-	94277916	FUT4	chr11:94277299-94278891:+
2961	doench2014-Hs	CD15	chr11:94278608-94278707:-	94278661	FUT4	chr11:94277299-94278891:+
2962	doench2014-Hs	CD15	chr11:94278007-94278106:-	94278060	FUT4	chr11:94277299-94278891:+
2963	doench2014-Hs	CD15	chr11:94278411-94278510:+	94278457	FUT4	chr11:94277299-94278891:+
2964	doench2014-Hs	CD15	chr11:94277788-94277887:+	94277834	FUT4	chr11:94277299-94278891:+
2965	doench2014-Hs	CD15	chr11:94278553-94278652:+	94278599	FUT4	chr11:94277299-94278891:+
2966	doench2014-Hs	CD15	chr11:94278279-94278378:-	94278332	FUT4	chr11:94277299-94278891:+
2967	doench2014-Hs	CD15	chr11:94278357-94278456:+	94278403	FUT4	chr11:94277299-94278891:+
2968	doench2014-Hs	CD15	chr11:94278237-94278336:-	94278290	FUT4	chr11:94277299-94278891:+
